time,age,population_group,zaf_population
1996,0,Black African,698472.069
1996,0,White,54071.40321
1996,1,Black African,691100.0929
1996,1,White,51172.29426
1996,2,Black African,735442.2083
1996,2,White,52224.86631
1996,3,Black African,758814.1108
1996,3,White,54133.96462
1996,4,Black African,769174.9471
1996,4,White,57616.2832
1996,5,Black African,788627.5805
1996,5,White,60225.0028
1996,6,Black African,810542.245
1996,6,White,62737.32205
1996,7,Black African,758889.4173
1996,7,White,61728.22135
1996,8,Black African,735702.1808
1996,8,White,61783.8748
1996,9,Black African,724346.4036
1996,9,White,62698.36914
1996,10,Black African,764045.6718
1996,10,White,67230.871
1996,11,Black African,744420.0367
1996,11,White,69575.30224
1996,12,Black African,757482.0752
1996,12,White,71437.05416
1996,13,Black African,737424.4572
1996,13,White,72683.8892
1996,14,Black African,743307.5026
1996,14,White,74352.34656
1996,15,Black African,685854.1453
1996,15,White,72527.33114
1996,16,Black African,713589.5587
1996,16,White,72429.99472
1996,17,Black African,654215.6503
1996,17,White,67824.2585
1996,18,Black African,647433.7916
1996,18,White,66839.34746
1996,19,Black African,649226.1445
1996,19,White,65157.32462
1996,20,Black African,666494.0359
1996,20,White,70303.34238
1996,21,Black African,655759.519
1996,21,White,69690.08806
1996,22,Black African,622238.4275
1996,22,White,68656.64496
1996,23,Black African,594034.3794
1996,23,White,68533.25336
1996,24,Black African,614556.1926
1996,24,White,71918.77229
1996,25,Black African,521598.3641
1996,25,White,72290.62454
1996,26,Black African,609245.0909
1996,26,White,73169.12208
1996,27,Black African,533675.0199
1996,27,White,70406.90204
1996,28,Black African,548671.4091
1996,28,White,70021.98644
1996,29,Black African,440406.2225
1996,29,White,67088.15457
1996,30,Black African,505307.7573
1996,30,White,69318.32274
1996,31,Black African,458299.822
1996,31,White,64349.23219
1996,32,Black African,479685.2674
1996,32,White,68616.99335
1996,33,Black African,440233.3308
1996,33,White,67217.66542
1996,34,Black African,433974.1304
1996,34,White,68206.37254
1996,35,Black African,398636.6963
1996,35,White,69597.98651
1996,36,Black African,456480.3196
1996,36,White,72018.88013
1996,37,Black African,356505.3977
1996,37,White,66983.06238
1996,38,Black African,407601.5282
1996,38,White,69997.74005
1996,39,Black African,330115.6448
1996,39,White,65754.37562
1996,40,Black African,368295.558
1996,40,White,70489.19474
1996,41,Black African,280888.6035
1996,41,White,61961.03775
1996,42,Black African,313122.0139
1996,42,White,64062.52669
1996,43,Black African,274179.9674
1996,43,White,61320.33377
1996,44,Black African,288899.0741
1996,44,White,59062.86177
1996,45,Black African,235556.408
1996,45,White,59284.95774
1996,46,Black African,273239.6032
1996,46,White,58621.00574
1996,47,Black African,214960.0616
1996,47,White,57082.99534
1996,48,Black African,228915.3776
1996,48,White,59387.88328
1996,49,Black African,194438.7397
1996,49,White,58493.75384
1996,50,Black African,200606.7353
1996,50,White,57748.31606
1996,51,Black African,159341.8403
1996,51,White,50210.77582
1996,52,Black African,155182.7447
1996,52,White,51938.81644
1996,53,Black African,142139.352
1996,53,White,47406.82232
1996,54,Black African,177828.3253
1996,54,White,46448.10622
1996,55,Black African,139831.5559
1996,55,White,44870.85804
1996,56,Black African,204111.0852
1996,56,White,45294.62448
1996,57,Black African,127497.6799
1996,57,White,42013.69746
1996,58,Black African,131332.4979
1996,58,White,41663.36796
1996,59,Black African,113323.7931
1996,59,White,38979.02046
1996,60,Black African,162362.7347
1996,60,White,40507.17598
1996,61,Black African,106174.9258
1996,61,White,34998.48846
1996,62,Black African,108805.4393
1996,62,White,33876.06832
1996,63,Black African,113522.7696
1996,63,White,33052.05498
1996,64,Black African,110818.3819
1996,64,White,32898.56284
1996,65,Black African,113018.0204
1996,65,White,34498.3659
1996,66,Black African,140514.5165
1996,66,White,33025.99722
1996,67,Black African,101580.9007
1996,67,White,30343.9268
1996,68,Black African,93693.26563
1996,68,White,29595.94304
1996,69,Black African,76249.0903
1996,69,White,27771.88024
1996,70,Black African,89734.26535
1996,70,White,28222.73656
1996,71,Black African,68659.53868
1996,71,White,24706.4077
1996,72,Black African,63800.44251
1996,72,White,24243.32276
1996,73,Black African,42519.28193
1996,73,White,22281.13634
1996,74,Black African,47491.76015
1996,74,White,21903.44294
1996,75,Black African,56550.15062
1996,75,White,21101.27316
1996,76,Black African,71201.99832
1996,76,White,20173.80274
1996,77,Black African,43457.4416
1996,77,White,15642.20556
1996,78,Black African,69560.80653
1996,78,White,15996.35382
1996,79,Black African,20555.83025
1996,79,White,13710.89276
1996,80,Black African,26766.98927
1996,80,White,13338.76088
1996,81,Black African,18321.36442
1996,81,White,11537.49712
1996,82,Black African,32830.13785
1996,82,White,11404.23336
1996,83,Black African,12833.45156
1996,83,White,10078.3578
1996,84,Black African,17657.64896
1996,84,White,8889.01896
1996,85,Black African,13880.37276
1996,85,White,7469.43598
1996,86,Black African,21833.85841
1996,86,White,6328.42218
1996,87,Black African,8329.59591
1996,87,White,5130.28868
1996,88,Black African,6331.83693
1996,88,White,4388.08608
1996,89,Black African,6037.05556
1996,89,White,3588.94524
1996,90,Black African,6882.16017
1996,90,White,2849.03022
1996,91,Black African,3744.0461
1996,91,White,2120.06094
1996,92,Black African,4169.86604
1996,92,White,1610.19158
1996,93,Black African,2986.7468
1996,93,White,1099.755
1996,94,Black African,4300.79926
1996,94,White,745.03502
1996,95,Black African,4319.16645
1996,95,White,484.56312
1996,96,Black African,2392.55136
1996,96,White,286.35146
1996,97,Black African,602.96879
1996,97,White,97.66396
1996,98,Black African,570.7608
1996,98,White,76.73914
1996,99,Black African,1252.85416
1996,99,White,190.36582
1996,100,Black African,604.89686
1996,100,White,13.9855
1996,101,Black African,183.6652
1996,101,White,19.945
1996,102,Black African,201.2937
1996,102,White,5.5933
1996,103,Black African,84.8977
1996,103,White,5.223
1996,104,Black African,101.3115
1996,104,White,5.32884
1996,105,Black African,121.43723
1996,105,White,3.3197
1996,106,Black African,146.67579
1996,106,White,3.4795
1996,107,Black African,82.3573
1996,107,White,1.05
1996,108,Black African,70.7577
1996,108,White,1.261
1996,109,Black African,47.7904
1996,109,White,1.05
1996,110,Black African,86.048
1996,110,White,0
1996,111,Black African,19.289
1996,111,White,2.0674
1996,112,Black African,23.6227
1996,112,White,0
1996,113,Black African,3.2778
1996,113,White,0
1996,114,Black African,15.6527
1996,114,White,0
1996,115,Black African,12.8358
1996,115,White,0
1996,116,Black African,12.0345
1996,116,White,0
1996,117,Black African,9.6288
1996,117,White,0
1996,118,Black African,7.3964
1996,118,White,0
1996,119,Black African,5.3092
1996,119,White,3.1304
1996,120,Black African,0
1996,120,White,0
2001,0,Black African,766978.2044
2001,0,White,45800.20303
2001,1,Black African,732234.2198
2001,1,White,45124.54489
2001,2,Black African,739107.4701
2001,2,White,45832.31377
2001,3,Black African,739369.6905
2001,3,White,45490.04411
2001,4,Black African,774505.3056
2001,4,White,47877.2795
2001,5,Black African,815554.8948
2001,5,White,53018.02834
2001,6,Black African,799549.4337
2001,6,White,52925.58369
2001,7,Black African,823420.826
2001,7,White,51658.35161
2001,8,Black African,795775.8527
2001,8,White,53487.4304
2001,9,Black African,850862.416
2001,9,White,58416.33257
2001,10,Black African,887388.7189
2001,10,White,62304.85654
2001,11,Black African,871841.2977
2001,11,White,63446.33951
2001,12,Black African,823135.5493
2001,12,White,62570.81484
2001,13,Black African,826111.22
2001,13,White,63299.19856
2001,14,Black African,810115.4187
2001,14,White,65123.87127
2001,15,Black African,834477.0021
2001,15,White,68132.7985
2001,16,Black African,844766.8505
2001,16,White,73670.13259
2001,17,Black African,802810.425
2001,17,White,72485.14481
2001,18,Black African,811096.0013
2001,18,White,72723.80053
2001,19,Black African,803109.6232
2001,19,White,66791.39861
2001,20,Black African,749073.3677
2001,20,White,64807.26745
2001,21,Black African,766377.3638
2001,21,White,62566.6723
2001,22,Black African,703301.3407
2001,22,White,55944.257
2001,23,Black African,653108.0704
2001,23,White,54449.52221
2001,24,Black African,672736.328
2001,24,White,56262.36933
2001,25,Black African,669169.1738
2001,25,White,60182.3753
2001,26,Black African,666253.8247
2001,26,White,59747.44233
2001,27,Black African,630452.2904
2001,27,White,61332.52664
2001,28,Black African,600518.6136
2001,28,White,62965.92768
2001,29,Black African,617775.3688
2001,29,White,67443.95859
2001,30,Black African,507649.7705
2001,30,White,71677.75827
2001,31,Black African,581716.4284
2001,31,White,70629.34815
2001,32,Black African,525815.5076
2001,32,White,68714.75592
2001,33,Black African,519893.0398
2001,33,White,67252.87317
2001,34,Black African,435842.9363
2001,34,White,66366.85305
2001,35,Black African,465729.8683
2001,35,White,65701.87376
2001,36,Black African,483102.0312
2001,36,White,65741.78912
2001,37,Black African,461818.0949
2001,37,White,66465.02453
2001,38,Black African,472360.6852
2001,38,White,68554.85363
2001,39,Black African,448304.516
2001,39,White,68776.9756
2001,40,Black African,395154.4783
2001,40,White,70480.62268
2001,41,Black African,429117.7319
2001,41,White,69950.36353
2001,42,Black African,382165.7628
2001,42,White,67785.44646
2001,43,Black African,389974.9315
2001,43,White,67809.00404
2001,44,Black African,332715.9188
2001,44,White,64472.33481
2001,45,Black African,324079.1424
2001,45,White,62682.19026
2001,46,Black African,294548.9791
2001,46,White,60189.83637
2001,47,Black African,292291.7325
2001,47,White,58355.99495
2001,48,Black African,293568.942
2001,48,White,57887.14735
2001,49,Black African,305861.8834
2001,49,White,57039.15664
2001,50,Black African,238850.8007
2001,50,White,57944.15849
2001,51,Black African,262843.4945
2001,51,White,54763.43422
2001,52,Black African,228581.0646
2001,52,White,54725.74731
2001,53,Black African,213586.5137
2001,53,White,54369.93725
2001,54,Black African,190977.7528
2001,54,White,55943.20846
2001,55,Black African,170419.9002
2001,55,White,52671.73508
2001,56,Black African,162982.2526
2001,56,White,49528.9469
2001,57,Black African,144199.8525
2001,57,White,48913.35219
2001,58,Black African,149101.6261
2001,58,White,46129.68795
2001,59,Black African,174551.0391
2001,59,White,44229.66509
2001,60,Black African,150553.0135
2001,60,White,44359.80766
2001,61,Black African,200370.9055
2001,61,White,42832.19565
2001,62,Black African,137878.0664
2001,62,White,40904.45926
2001,63,Black African,128507.3462
2001,63,White,39321.53509
2001,64,Black African,113525.6846
2001,64,White,37129.22804
2001,65,Black African,130169.8215
2001,65,White,35385.96568
2001,66,Black African,104986.9622
2001,66,White,32495.19696
2001,67,Black African,102451.4157
2001,67,White,30294.2998
2001,68,Black African,103214.655
2001,68,White,29147.7539
2001,69,Black African,99268.82107
2001,69,White,28888.79791
2001,70,Black African,88254.11979
2001,70,White,29293.06136
2001,71,Black African,128410.8227
2001,71,White,28158.39537
2001,72,Black African,87667.23768
2001,72,White,25756.907
2001,73,Black African,75550.761
2001,73,White,24303.54073
2001,74,Black African,62667.85347
2001,74,White,22835.8076
2001,75,Black African,60876.5704
2001,75,White,21710.40008
2001,76,Black African,58071.03776
2001,76,White,19800.46177
2001,77,Black African,48953.31694
2001,77,White,18422.39056
2001,78,Black African,35588.44979
2001,78,White,16954.28578
2001,79,Black African,37797.88489
2001,79,White,16426.63755
2001,80,Black African,44728.46902
2001,80,White,15688.84868
2001,81,Black African,54228.36582
2001,81,White,13906.50884
2001,82,Black African,33956.54221
2001,82,White,10579.8037
2001,83,Black African,47016.2069
2001,83,White,10082.71757
2001,84,Black African,14423.34545
2001,84,White,8978.015169
2001,85,Black African,12857.13932
2001,85,White,6901.998339
2001,86,Black African,11906.43206
2001,86,White,6076.972146
2001,87,Black African,18813.53175
2001,87,White,5422.508111
2001,88,Black African,7519.679837
2001,88,White,4574.177437
2001,89,Black African,9547.925213
2001,89,White,3701.830004
2001,90,Black African,7964.307651
2001,90,White,2978.635183
2001,91,Black African,11276.98285
2001,91,White,2298.286221
2001,92,Black African,4721.966801
2001,92,White,1750.171649
2001,93,Black African,3146.539564
2001,93,White,1330.485266
2001,94,Black African,2606.944849
2001,94,White,1003.763307
2001,95,Black African,2909.06936
2001,95,White,698.173971
2001,96,Black African,2224.077332
2001,96,White,508.629122
2001,97,Black African,2199.087983
2001,97,White,357.355918
2001,98,Black African,1882.665221
2001,98,White,229.334259
2001,99,Black African,3316.944355
2001,99,White,208.11251
2001,100,Black African,2147.470463
2001,100,White,119.673664
2001,101,Black African,1338.190788
2001,101,White,85.834103
2001,102,Black African,442.373528
2001,102,White,23.235264
2001,103,Black African,207.830625
2001,103,White,7.113719
2001,104,Black African,182.53858
2001,104,White,12.089742
2001,105,Black African,218.139577
2001,105,White,3.403574
2001,106,Black African,116.031297
2001,106,White,2.206678
2001,107,Black African,63.92101
2001,107,White,2
2001,108,Black African,52.192129
2001,108,White,1.137476
2001,109,Black African,74.080548
2001,109,White,1
2001,110,Black African,88.644756
2001,110,White,4.647656
2001,111,Black African,125.542384
2001,111,White,5.569539
2001,112,Black African,50.500844
2001,112,White,1
2001,113,Black African,36.806095
2001,113,White,7.701982
2001,114,Black African,28.443046
2001,114,White,6.679358
2001,115,Black African,30.725903
2001,115,White,4.275188
2001,116,Black African,19.210225
2001,116,White,4.430222
2001,117,Black African,24.433698
2001,117,White,6.839057
2001,118,Black African,33.909625
2001,118,White,5.412664
2001,119,Black African,28.590731
2001,119,White,0
2001,120,Black African,62.578231
2001,120,White,3.137476
2011,0,Black African,988469.9765
2011,0,White,53197.43831
2011,1,Black African,963871.9756
2011,1,White,53150.23559
2011,2,Black African,973912.8181
2011,2,White,55725.64076
2011,3,Black African,965040.9778
2011,3,White,53728.06317
2011,4,Black African,939146.2418
2011,4,White,52466.01663
2011,5,Black African,892493.2365
2011,5,White,51410.88359
2011,6,Black African,878835.0323
2011,6,White,49792.03347
2011,7,Black African,803767.5493
2011,7,White,48438.82411
2011,8,Black African,749830.1728
2011,8,White,48015.29501
2011,9,Black African,729093.0546
2011,9,White,47909.96242
2011,10,Black African,758882.4331
2011,10,White,50529.03958
2011,11,Black African,780651.9276
2011,11,White,51920.0413
2011,12,Black African,745603.5243
2011,12,White,50690.13142
2011,13,Black African,752277.9338
2011,13,White,51575.90691
2011,14,Black African,780447.2095
2011,14,White,52638.19213
2011,15,Black African,818384.3363
2011,15,White,56049.75142
2011,16,Black African,816645.9534
2011,16,White,56796.50878
2011,17,Black African,841145.6976
2011,17,White,55338.02093
2011,18,Black African,832154.2572
2011,18,White,58115.25289
2011,19,Black African,863120.1671
2011,19,White,58596.81322
2011,20,Black African,917349.3608
2011,20,White,62841.28689
2011,21,Black African,944121.4636
2011,21,White,64726.10962
2011,22,Black African,881124.3315
2011,22,White,62462.35309
2011,23,Black African,882278.6411
2011,23,White,61937.99932
2011,24,Black African,854974.3998
2011,24,White,61648.24093
2011,25,Black African,870353.4185
2011,25,White,64495.35826
2011,26,Black African,869605.3084
2011,26,White,68294.05426
2011,27,Black African,819190.0291
2011,27,White,66847.96126
2011,28,Black African,810353.8042
2011,28,White,68480.75243
2011,29,Black African,787256.2271
2011,29,White,68237.27822
2011,30,Black African,697459.7693
2011,30,White,67230.7496
2011,31,Black African,710042.2725
2011,31,White,65298.10314
2011,32,Black African,654520.1411
2011,32,White,61774.62654
2011,33,Black African,581942.3477
2011,33,White,60892.68302
2011,34,Black African,593712.5079
2011,34,White,63133.14985
2011,35,Black African,577631.0057
2011,35,White,65372.84656
2011,36,Black African,566035.3304
2011,36,White,67413.27959
2011,37,Black African,518579.823
2011,37,White,68003.97689
2011,38,Black African,506333.9527
2011,38,White,69332.85737
2011,39,Black African,505574.0419
2011,39,White,72193.49898
2011,40,Black African,430822.6685
2011,40,White,75313.59437
2011,41,Black African,483017.4554
2011,41,White,71413.82155
2011,42,Black African,449379.418
2011,42,White,71652.5094
2011,43,Black African,441026.2314
2011,43,White,68394.19539
2011,44,Black African,360492.1756
2011,44,White,64699.11656
2011,45,Black African,378606.9343
2011,45,White,64297.89896
2011,46,Black African,385886.3246
2011,46,White,64507.21411
2011,47,Black African,387107.8451
2011,47,White,65683.01532
2011,48,Black African,387824.7895
2011,48,White,64870.27797
2011,49,Black African,362706.84
2011,49,White,65826.48475
2011,50,Black African,310157.002
2011,50,White,67091.79097
2011,51,Black African,349167.0911
2011,51,White,65724.09082
2011,52,Black African,308453.925
2011,52,White,65343.10777
2011,53,Black African,316701.8601
2011,53,White,64379.48346
2011,54,Black African,275446.0012
2011,54,White,62000.19426
2011,55,Black African,265825.0354
2011,55,White,61655.03605
2011,56,Black African,251482.3998
2011,56,White,61295.59671
2011,57,Black African,241437.8004
2011,57,White,58529.29387
2011,58,Black African,240245.1926
2011,58,White,57529.29753
2011,59,Black African,243210.965
2011,59,White,56586.58809
2011,60,Black African,189791.8406
2011,60,White,56455.90238
2011,61,Black African,216146.3795
2011,61,White,53732.82133
2011,62,Black African,181466.6363
2011,62,White,54355.92954
2011,63,Black African,173266.1878
2011,63,White,54841.18696
2011,64,Black African,152769.9076
2011,64,White,54271.58991
2011,65,Black African,135149.6611
2011,65,White,51223.1795
2011,66,Black African,120423.1626
2011,66,White,46831.26812
2011,67,Black African,112321.6437
2011,67,White,46844.98197
2011,68,Black African,112095.9954
2011,68,White,42354.35069
2011,69,Black African,121069.3724
2011,69,White,40054.19756
2011,70,Black African,98309.17425
2011,70,White,38808.27678
2011,71,Black African,136160.9737
2011,71,White,36838.41211
2011,72,Black African,93447.37203
2011,72,White,35361.45329
2011,73,Black African,84969.51069
2011,73,White,32472.30408
2011,74,Black African,72965.07236
2011,74,White,29953.79254
2011,75,Black African,77972.96862
2011,75,White,28519.97578
2011,76,Black African,62447.16644
2011,76,White,25383.83553
2011,77,Black African,58886.51999
2011,77,White,22416.18165
2011,78,Black African,57716.90407
2011,78,White,20956.65847
2011,79,Black African,53684.61535
2011,79,White,19645.63255
2011,80,Black African,43930.50988
2011,80,White,19345.74827
2011,81,Black African,66883.06894
2011,81,White,17269.68337
2011,82,Black African,42900.92477
2011,82,White,15318.12818
2011,83,Black African,35734.66081
2011,83,White,13282.98659
2011,84,Black African,28696.20722
2011,84,White,11856.7938
2011,85,Black African,26066.6532
2011,85,White,10343.85335
2011,86,Black African,23836.53618
2011,86,White,8608.8324
2011,87,Black African,19962.28789
2011,87,White,7574.92672
2011,88,Black African,13578.74023
2011,88,White,6132.00261
2011,89,Black African,13470.62516
2011,89,White,5062.78262
2011,90,Black African,13988.02408
2011,90,White,4300.52041
2011,91,Black African,17425.99745
2011,91,White,3345.83665
2011,92,Black African,9503.92977
2011,92,White,2258.21265
2011,93,Black African,12218.43671
2011,93,White,1698.81992
2011,94,Black African,3572.22944
2011,94,White,1165.81442
2011,95,Black African,3329.32429
2011,95,White,982.71264
2011,96,Black African,3026.69507
2011,96,White,769.04882
2011,97,Black African,4286.40669
2011,97,White,586.26049
2011,98,Black African,2173.88202
2011,98,White,435.34615
2011,99,Black African,2168.58697
2011,99,White,321.1029
2011,100,Black African,1546.11519
2011,100,White,182.72988
2011,101,Black African,2093.33744
2011,101,White,129.54703
2011,102,Black African,1180.71155
2011,102,White,114.37023
2011,103,Black African,776.30886
2011,103,White,117.24231
2011,104,Black African,697.24716
2011,104,White,109.28159
2011,105,Black African,726.62309
2011,105,White,83.78704
2011,106,Black African,667.98531
2011,106,White,89.62421
2011,107,Black African,691.67375
2011,107,White,80.01528
2011,108,Black African,636.82325
2011,108,White,99.78481
2011,109,Black African,739.03618
2011,109,White,118.41477
2011,110,Black African,800.13678
2011,110,White,103.55033
2011,111,Black African,870.58988
2011,111,White,94.14434
2011,112,Black African,81.92915
2011,112,White,6.38871
2011,113,Black African,51.6184
2011,113,White,6.02606
2011,114,Black African,49.51013
2011,114,White,4.09334
2011,115,Black African,76.92218
2011,115,White,7.37944
2011,116,Black African,47.23913
2011,116,White,4.51321
2011,117,Black African,58.33586
2011,117,White,3.41862
2011,118,Black African,24.83366
2011,118,White,2.24629
2011,119,Black African,44.35176
2011,119,White,4.33035
2011,120,Black African,50.77253
2011,120,White,2.25639
