year,municipality,piped_water_percentage,electricity_lighting_total,population
1996,160,0.983335285,0.75974069,43905.6008
1996,161,0.853500979,0.43351783,31704.478
1996,162,0.895137583,0.634054024,37484.9366
1996,163,0.925637402,0.710160782,56556.61355
1996,164,0.850701328,0.611168079,65300.77379
1996,165,0.702103345,0.614646239,76386.0887
1996,166,0.823578383,0.425682694,186334.1562
1996,167,0.930890985,0.729686983,103996.192
1996,168,0.697321883,0.632792025,129983.5927
1996,169,0.060614134,0.040186687,67082.9106
1996,170,0.236267517,0.13247422,24579.39976
1996,171,0.756794312,0.270694792,74581.76939
1996,172,0.587969017,0.240929166,36685.6839
1996,173,0.528901203,0.230016873,23014.9924
1996,174,0.662894911,0.216249534,21189.86223
1996,175,0.925698327,0.353771453,38552.9737
1996,176,0.939858933,0.664222007,59788.86221
1996,177,0.904355151,0.453487299,120147.8673
1996,178,0.943572685,0.773381489,79181.13922
1996,179,0.845629435,0.562491025,18426.63225
1996,180,0.20131761,0.059835607,43599.32605
1996,181,0.427137505,0.194085463,5912.755
1996,182,0.117526976,0.049950468,9507.5658
1996,183,0.519398793,0.192741206,40693.2368
1996,199,0.216759241,0.078918507,2562277.21
1996,260,0.5368153,0.290112221,685726.6786
1996,261,0.921941099,0.527565587,46824.1101
1996,262,0.947241802,0.722959098,34577.1393
1996,263,0.144382499,0.029038536,10517.89056
1996,264,0.073349159,0.043825359,77655.53808
1996,265,0.155810004,0.047328832,46513.5539
1996,266,0.205011243,0.068972324,45537.44219
1996,267,0.358344344,0.212267612,17089.0903
1996,268,0.258018892,0.082999018,63240.5492
1996,269,0.213069394,0.062895772,28203.788
1996,270,0.07256929,0.074076836,255747.7308
1996,271,0.1048256,0.03167258,286591.9535
1996,272,0.905241097,0.465118589,40086.3085
1996,273,0.979429523,0.708568843,136461.1804
1996,274,0.870040715,0.753237536,93320.43801
1996,276,0.940668203,0.752882744,144160.6125
1996,277,0.917431067,0.67396435,24792.299
1996,278,0.960513909,0.74062179,57871.6143
1996,279,0.915548364,0.727327759,35103.9968
1996,280,0.903668516,0.544441327,19425.8543
1996,281,0.883244001,0.621392334,176365.4946
1996,282,0.972095217,0.725739688,164447.8081
1996,283,0.892794475,0.442378861,130669.6712
1996,284,0.916366474,0.63542008,165040.6953
1996,285,0.895784247,0.64233038,65223.67908
1996,286,0.844958017,0.547622045,134887.9896
1996,287,0.960791367,0.227724485,131257.571
1996,288,0.752205866,0.402315579,32242.1976
1996,289,0.911121474,0.683810422,29610.1778
1996,290,0.918846591,0.588200278,245363.0624
1996,291,0.928626816,0.338239936,145956.5273
1996,292,0.966424688,0.673411148,260798.8568
1996,293,0.847191772,0.484963017,200517.5895
1996,294,0.970759945,0.612487793,396311.8498
1996,295,0.965318843,0.819329122,200867.1966
1996,296,0.800273345,0.740215347,193447.7684
1996,297,0.882547108,0.520039214,235505.0767
1996,298,0.917633948,0.824094632,119764.7043
1996,299,0.873972773,0.754287823,969518.0041
1996,360,0.910910235,0.389064143,112435.092
1996,361,0.948561997,0.577452064,61966.89427
1996,362,0.966062772,0.74679852,22219.06423
1996,363,0.975201023,0.850293738,12819.40049
1996,364,0.93385994,0.767783168,43840.90695
1996,365,0.104900131,0.164821418,11063.72181
1996,366,0.163614066,0.150168265,19942.2758
1996,367,0.164746461,0.296046885,12386.6616
1996,368,0.664541562,0.746284432,9550.00476
1996,369,0.121483624,0.138821456,19705.282
1996,370,0.676866851,0.694676586,25366.7887
1996,371,0.362137669,0.257078205,39363.3975
1996,372,0.894793401,0.649373595,11473.9289
1996,373,0.698884888,0.477586189,9432.2694
1996,374,0.569809337,0.190077944,13575.5081
1996,375,0.913174016,0.729150085,20155.7948
1996,376,0.519100334,0.312329771,38408.00171
1996,377,0.435492041,0.494795263,7027.2093
1996,378,0.754967569,0.610471508,57904.8733
1996,379,0.547356713,0.272922154,80823.43696
1996,380,0.743867387,0.493629426,15046.3857
1996,381,0.468134241,0.251568535,26567.4616
1996,382,0.497443776,0.402533221,16112.85
1996,383,0.142931413,0.020296213,205102.8611
1996,384,0.153362503,0.035867647,39526.921
1996,385,0.118295955,0.106043936,22456.6351
1996,386,0.166383138,0.178867076,57590.6821
1996,460,0.237757101,0.290270164,35448.7103
1996,461,0.733123324,0.768177568,50017.06939
1996,462,0.075094632,0.012922501,36238.13632
1996,463,0.158658642,0.326518536,24912.40767
1996,464,0.112917893,0.220412982,65851.13416
1996,465,0.177080001,0.29998717,26767.3432
1996,466,0.209896434,0.178261395,51647.51977
1996,467,0.314299518,0.144986396,476763.075
1996,468,0.760302785,0.469395919,82140.68522
1996,469,0.836563957,0.337513147,109767.8722
1996,470,0.30790682,0.130831411,107797.7445
1996,471,0.135642475,0.04693618,64283.94948
1996,472,0.899017528,0.664582253,353237.7108
1996,473,0.369133294,0.04685736,46657.0891
1996,474,0.080537451,0.018433197,50081.14082
1996,475,0.384938195,0.287182163,169439.935
1996,477,0.86206745,0.870286815,120007.4292
1996,478,0.406715089,0.299761845,106911.8868
1996,479,0.473062102,0.293554624,52005.48343
1996,499,0.649039664,0.362618782,603528.1258
1996,503,0.523173194,0.305566721,166829.8422
1996,504,0.43857741,0.413508331,82102.7872
1996,505,0.165028318,0.130521044,47546.8239
1996,506,0.301655772,0.228254101,191200.5939
1996,514,0.018700019,0.120743265,178514.4946
1996,524,0.487423743,0.448226355,287659.0829
1996,525,0.698906978,0.660776873,23914.84403
1996,526,0.151028293,0.169283662,99216.38857
1996,529,0.940199759,0.737527596,167903.6199
1996,538,0.939348958,0.454065823,196894.1063
1996,542,0.800394255,0.495724608,129493.4172
1996,546,0.802712638,0.542020314,124677.1623
1996,560,0.915956198,0.627845726,99609.5291
1996,561,0.746058628,0.291069705,54201.0932
1996,562,0.708186917,0.079830113,114924.0085
1996,563,0.865122467,0.33295927,69741.5663
1996,564,0.873249721,0.574187647,25512.22737
1996,565,0.848041572,0.281902914,39957.3903
1996,566,0.70928829,0.186737353,524266.085
1996,567,0.74095185,0.145597863,45174.3265
1996,568,0.869752131,0.38771131,62098.80234
1996,569,0.792164826,0.426531101,98478.3191
1996,570,0.613574864,0.339493654,47693.38583
1996,571,0.75199932,0.524653294,119342.1521
1996,573,0.670972098,0.697319598,112521.6097
1996,574,0.677748931,0.558278818,44401.7577
1996,575,0.794848512,0.518769341,151496.6142
1996,576,0.807194249,0.61197671,160149.3308
1996,577,0.732511436,0.306621663,90250.0992
1996,578,0.618686397,0.5439974,65367.99864
1996,579,0.556623035,0.692522552,98273.90563
1996,580,0.444023586,0.248435803,188958.6358
1996,581,0.606055414,0.151368487,170551.076
1996,582,0.535621099,0.206356412,128616.116
1996,583,0.653545689,0.247992437,151747.0857
1996,584,0.82524655,0.42539429,28857.2238
1996,585,0.671529276,0.366244398,65977.5662
1996,586,0.680808559,0.640302059,128559.0445
1996,587,0.858294168,0.455561892,96460.9651
1996,588,0.839217709,0.636905531,72705.1177
1996,589,0.952923663,0.516808317,230205.1476
1996,590,0.82529054,0.618748702,36826.66884
1996,591,0.946477227,0.702671673,107070.1591
1996,592,0.883676106,0.706697509,143757.6094
1996,593,0.756928716,0.54390147,169234.277
1996,594,0.886564904,0.833848197,94510.80341
1996,595,0.716072272,0.737840405,11930.4751
1996,596,0.913145223,0.678451195,34731.04355
1996,597,0.840419348,0.490370629,78541.58503
1996,598,0.835145201,0.488321376,165349.2099
1996,599,0.756474764,0.253660448,2748299.195
1996,660,0.795745987,0.338113541,173401.6753
1996,661,0.495708112,0.471211877,319973.9502
1996,662,0.771835977,0.311826125,311786.5346
1996,663,0.838673093,0.504526097,32777.99495
1996,664,0.81211129,0.562948809,229621.6646
1996,665,0.895216604,0.272869337,98468.5222
1996,666,0.819409261,0.036355606,91258.61264
1996,667,0.817697811,0.357971941,242146.0814
1996,668,0.644582161,0.406977733,130368.534
1996,669,0.815509765,0.550435864,129287.4065
1996,670,0.855890333,0.323997095,54115.90668
1996,671,0.873558468,0.617883425,42735.92667
1996,672,0.858431434,0.596075372,184363.556
1996,673,0.76386044,0.104693154,36868.76767
1996,674,0.928449958,0.717416376,97769.60705
1996,675,0.578119877,0.182990842,31915.0518
1996,676,0.87962182,0.299124616,124813.0219
1996,677,0.930513206,0.561476824,334346.326
1996,678,0.963865229,0.677710253,61203.88737
1996,760,0.866791625,0.61528107,597285.1374
1996,761,0.904078281,0.650013129,53353.1263
1996,762,0.930825372,0.715006795,66205.91178
1996,763,0.687306821,0.491251904,226445.7117
1996,764,0.872792162,0.690103792,107710.8445
1996,765,0.924760043,0.629074208,115591.9549
1996,766,0.932432418,0.774396449,209726.6623
1996,797,0.89565889,0.66573402,2026977.853
1996,798,0.956980247,0.752219549,2638471.014
1996,799,0.944715893,0.626977825,1792356.81
1996,860,0.916761309,0.667205078,182719.0985
1996,861,0.936231712,0.676061748,105367.6947
1996,862,0.885957508,0.643579301,100387.5696
1996,863,0.937894974,0.769541942,70178.08413
1996,864,0.848665075,0.561253493,90079.63367
1996,865,0.723702305,0.193343578,39041.93502
1996,866,0.799738018,0.590756914,209625.612
1996,867,0.910116709,0.708363282,53208.13587
1996,868,0.844726528,0.582264344,236039.795
1996,869,0.943356137,0.728980243,135335.448
1996,870,0.870974432,0.634199053,37003.55916
1996,871,0.98773535,0.821678122,241360.1981
1996,872,0.836111816,0.586843494,259301.6756
1996,873,0.909441746,0.752657271,65908.61652
1996,874,0.896327993,0.692039734,426089.8386
1996,875,0.632591731,0.144337254,48546.68916
1996,876,0.846945418,0.493862295,277864.3379
1996,877,0.964899466,0.847607293,545811.3561
1996,960,0.954941635,0.761148158,218751.3869
1996,961,0.949523766,0.757040453,203540.9444
1996,962,0.955104736,0.80996064,342550.9374
1996,963,0.982449879,0.860733374,109741.2384
1996,964,0.967834293,0.8641054,87871.11771
1996,965,0.962400915,0.777794647,73312.6903
1996,966,0.95810028,0.833930139,533756.8969
1996,967,0.966076834,0.902231631,33060.78449
1996,968,0.969888617,0.889981434,455597.4258
1996,969,0.936491475,0.801873176,158751.4507
1996,970,0.850973957,0.750265113,146335.3512
1996,973,0.975540213,0.836479714,107635.3827
1996,974,0.940112425,0.82753567,424835.4652
1996,976,0.972899748,0.841088893,234926.2597
1996,977,0.823979048,0.708702842,60175.33758
1996,978,0.895990416,0.738376835,78714.66955
1996,979,0.947048915,0.879283731,15673.8553
1996,980,0.939317726,0.812983422,46717.4649
1996,981,0.947684377,0.806614151,47592.2439
1996,982,0.883149552,0.739074786,282533.581
1996,983,0.889175024,0.670065243,97988.44056
1996,984,0.923861797,0.667304946,220394.1024
1996,985,0.940324104,0.712408313,269313.0488
1996,986,0.975875156,0.826091634,97213.4193
1996,987,0.978276765,0.868183386,229582.6063
2001,160,0.992489077,0.842507078,54198.82744
2001,161,0.902222488,0.651549644,39559.47965
2001,162,0.987025234,0.717238913,46538.31077
2001,163,0.94755727,0.725070143,70260.77632
2001,164,0.897839465,0.665214667,72115.04248
2001,165,0.808299569,0.631356058,89086.67411
2001,166,0.958533294,0.640514281,194417.3798
2001,167,0.973762145,0.760344979,118708.9086
2001,168,0.891386309,0.755158764,146386.5829
2001,169,0.114692005,0.15116662,81684.41257
2001,170,0.375993911,0.337545894,28284.7079
2001,171,0.839101064,0.71415867,93276.20166
2001,172,0.661904475,0.671769859,55012.34918
2001,173,0.746343467,0.691024166,27155.2913
2001,174,0.717256811,0.749943039,23971.27848
2001,175,0.938461959,0.797377137,44114.13787
2001,176,0.969684926,0.825555176,71493.71846
2001,177,0.858518323,0.861596853,149435.7964
2001,178,0.980152169,0.727971117,84691.87637
2001,179,0.934507845,0.735242939,29182.37211
2001,180,0.371579827,0.358317479,52035.28559
2001,181,0.522394555,0.449661452,6680.309999
2001,182,0.231362055,0.182951736,10511.99053
2001,183,0.659030758,0.508973763,43290.22912
2001,199,0.32849914,0.112574364,2892243.3
2001,260,0.626406847,0.620596848,704854.6826
2001,261,0.917248468,0.567712455,45773.27065
2001,262,0.968052062,0.756170922,35407.47802
2001,263,0.210240245,0.132106908,10367.00849
2001,264,0.188004948,0.170951634,75302.15903
2001,265,0.224910477,0.33255394,54716.83483
2001,266,0.321924825,0.291875224,43913.60058
2001,267,0.425709036,0.416793958,16897.27698
2001,268,0.484429826,0.184986728,71389.5578
2001,269,0.401695646,0.2412272,34439.02468
2001,270,0.173727903,0.245610459,263958.7754
2001,271,0.196753276,0.150202791,283666.6503
2001,272,0.937566644,0.629529389,44458.86664
2001,273,0.986542995,0.750073275,137904.0812
2001,274,0.946776572,0.714858791,84232.77436
2001,276,0.975273413,0.812436805,129874.4693
2001,277,0.979239118,0.726202846,24824.15187
2001,278,0.974613978,0.777952114,60364.13976
2001,279,0.968929184,0.713640545,32537.43934
2001,280,0.956030245,0.730153513,20243.64372
2001,281,0.976186444,0.670656537,181798.9364
2001,282,0.950672941,0.680559365,154828.4279
2001,283,0.963026352,0.793137979,121821.7113
2001,284,0.952181978,0.725796474,162248.3617
2001,285,0.940170023,0.668339921,66446.75989
2001,286,0.972962779,0.761537768,137394.44
2001,287,0.929061415,0.565791313,135733.9832
2001,288,0.914621653,0.638442297,37306.95921
2001,289,0.959435169,0.74842024,31314.16502
2001,290,0.981103231,0.831975677,254480.3304
2001,291,0.978201692,0.837842285,146967.2339
2001,292,0.987647239,0.770224482,274416.2072
2001,293,0.975601707,0.726128676,202933.1871
2001,294,0.957300076,0.849777705,416347.6612
2001,295,0.989291831,0.897678361,194629.5094
2001,296,0.953772327,0.633248318,202368.979
2001,297,0.964013287,0.733214273,245730.0922
2001,298,0.976969189,0.798161774,130979.9138
2001,299,0.986156777,0.756463762,1005778.693
2001,360,0.955108049,0.43041536,97945.44134
2001,361,0.968837575,0.65054981,70391.73518
2001,362,0.982933294,0.748357733,23201.55679
2001,363,0.970296158,0.848590863,10124.54172
2001,364,0.952420297,0.798608348,44899.78958
2001,365,0.223711486,0.290269804,10753.6274
2001,366,0.468671183,0.266309189,20350.91199
2001,367,0.382802017,0.372792715,10512.2955
2001,368,0.658895893,0.757531167,11469.34415
2001,369,0.281028256,0.196404148,16375.25502
2001,370,0.853703626,0.660940713,23641.32326
2001,371,0.643582114,0.53194312,35785.26913
2001,372,0.923220966,0.739673021,9487.541161
2001,373,0.759865316,0.534139655,9069.538021
2001,374,0.735325869,0.54857178,14467.33684
2001,375,0.937557466,0.856298871,18445.40852
2001,376,0.586556844,0.424629134,39275.1005
2001,377,0.488976944,0.538794046,7207.348724
2001,378,0.802105535,0.675594794,58670.89919
2001,379,0.621753845,0.468331978,77918.66475
2001,380,0.759085226,0.625757506,16538.4871
2001,381,0.518639613,0.389433852,27082.26693
2001,382,0.561600314,0.641916514,14742.61777
2001,383,0.317904995,0.063516073,202245.54
2001,384,0.485856581,0.104577168,38262.19839
2001,385,0.318320928,0.186745826,21733.48993
2001,386,0.410944614,0.285199258,61321.40905
2001,460,0.489532301,0.443435723,42847.42919
2001,461,0.885388318,0.860276737,56079.46109
2001,462,0.337242026,0.053183476,36321.02023
2001,463,0.300134868,0.501921782,27478.892
2001,464,0.271174154,0.277962738,64409.28995
2001,465,0.348356289,0.389980036,32455.49511
2001,466,0.437901539,0.299380321,53713.53765
2001,467,0.498469932,0.269261581,408170.0219
2001,468,0.827976024,0.456920992,98263.77794
2001,469,0.957729013,0.500278792,123194.2946
2001,470,0.304363254,0.261181413,129338.0319
2001,471,0.355084233,0.309654605,61950.968
2001,472,0.926476853,0.663368716,360549.1247
2001,473,0.566433453,0.16411682,51928.07602
2001,474,0.147596759,0.082621524,55341.89996
2001,475,0.424126928,0.342504586,167891.923
2001,477,0.872091288,0.841494189,118809.7446
2001,478,0.50113796,0.291016433,115954.5019
2001,479,0.543012849,0.434745515,56637.42748
2001,499,0.635564089,0.431534559,645440.3794
2001,503,0.628546085,0.312652717,193767.6703
2001,504,0.606314169,0.535178067,92327.11516
2001,505,0.304303627,0.245926192,54774.97315
2001,506,0.459308621,0.403411082,217823.5978
2001,514,0.115800011,0.169811383,225458.5989
